Company,No of weeks
00DS30,7
00DSES,7
00DSEX,7
1JANATAMF,1
1STPRIMFMF,3
AAMRANET,6
AAMRATECH,7
ABB1STMF,0
ABBANK,1
ACFL,4
ACI,1
ACIFORMULA,8
ACMELAB,4
ACMEPL,4
ACTIVEFINE,2
ADNTEL,7
ADVENT,5
AFCAGRO,1
AFTABAUTO,2
AGNISYSL,3
AGRANINS,2
AIBL1STIMF,0
AIL,3
AL-HAJTEX,4
ALARABANK,0
ALIF,1
ALLTEX,6
AMANFEED,5
AMBEEPHA,7
AMCL(PRAN),7
ANLIMAYARN,2
ANWARGALV,9
AOL,3
APEXFOODS,8
APEXFOOT,5
APEXSPINN,7
APEXTANRY,3
APOLOISPAT,2
APSCLBOND,10
ARAMIT,7
ARAMITCEM,1
ARGONDENIM,3
ASIAINS,3
ASIAPACINS,2
ATCSLGF,0
ATLASBANG,3
AZIZPIPES,4
BANGAS,4
BANKASIA,0
BARKAPOWER,3
BATASHOE,3
BATBC,2
BAYLEASING,3
BBS,5
BBSCABLES,2
BDAUTOCA,4
BDCOM,8
BDFINANCE,3
BDLAMPS,11
BDTHAI,2
BDTHAIFOOD,6
BDWELDING,3
BEACHHATCH,6
BEACONPHAR,8
BENGALWTL,4
BERGERPBL,4
BEXGSUKUK,2
BEXIMCO,4
BGIC,2
BIFC,4
BNICL,1
BPML,8
BPPL,3
BRACBANK,4
BSC,7
BSCCL,5
BSRMLTD,1
BSRMSTEEL,2
BXPHARMA,6
CAPMBDBLMF,2
CAPMIBBLMF,3
CBLPBOND,0
CENTRALINS,3
CENTRALPHL,2
CITYBANK,2
CITYGENINS,2
CNATEX,1
CONFIDCEM,3
CONTININS,2
COPPERTECH,4
CROWNCEMNT,6
CRYSTALINS,3
CVOPRL,3
DACCADYE,4
DAFODILCOM,2
DBH,1
DBH1STMF,0
DELTALIFE,3
DELTASPINN,2
DESCO,1
DESHBANDHU,1
DGIC,4
DHAKABANK,0
DHAKAINS,4
DOMINAGE,1
DOREENPWR,5
DSHGARME,6
DSSL,3
DULAMIACOT,4
DUTCHBANGL,3
EASTERNINS,2
EASTLAND,2
EASTRNLUB,5
EBL,1
EBL1STMF,1
EBLNRBMF,0
ECABLES,9
EGEN,6
EHL,11
EIL,2
EMERALDOIL,1
ENVOYTEX,4
EPGL,4
ESQUIRENIT,5
ETL,1
EXIM1STMF,2
EXIMBANK,0
FAMILYTEX,0
FARCHEM,3
FAREASTFIN,1
FAREASTLIF,5
FASFIN,1
FBFIF,1
FEDERALINS,1
FEKDIL,1
FINEFOODS,7
FIRSTFIN,0
FIRSTSBANK,0
FORTUNE,5
FUWANGCER,1
FUWANGFOOD,4
GBBPOWER,3
GEMINISEA,6
GENEXIL,3
GENNEXT,1
GHAIL,2
GHCL,3
GLDNJMF,0
GLOBALINS,3
GOLDENSON,0
GP,2
GPHISPAT,2
GQBALLPEN,3
GRAMEENS2,0
GREENDELMF,1
GREENDELT,3
GSPFINANCE,0
HAKKANIPUL,3
HEIDELBCEM,2
HFL,2
HRTEX,6
HWAWELLTEX,3
IBNSINA,5
IBP,3
ICB,1
ICB3RDNRB,0
ICBAGRANI1,2
ICBAMCL2ND,1
ICBEPMF1S1,2
ICBIBANK,1
ICBSONALI1,0
IDLC,0
IFADAUTOS,0
IFIC,0
IFIC1STMF,0
IFILISLMF1,1
ILFSL,0
IMAMBUTTON,6
INDEXAGRO,4
INTECH,2
INTRACO,5
IPDC,7
ISLAMIBANK,1
ISLAMICFIN,2
ISLAMIINS,2
ISNLTD,4
ITC,2
JAMUNABANK,1
JAMUNAOIL,4
JANATAINS,2
JHRML,9
JMISMDL,7
JUTESPINN,5
KARNAPHULI,2
KAY&QUE,3
KBPPWBIL,2
KDSALTD,6
KEYACOSMET,0
KOHINOOR,8
KPCL,3
KPPL,0
KTL,2
LANKABAFIN,1
LEGACYFOOT,3
LHBL,7
LIBRAINFU,4
LINDEBD,3
LOVELLO,4
LRBDL,4
LRGLOBMF1,0
MAKSONSPIN,4
MALEKSPIN,5
MARICO,5
MATINSPINN,5
MBL1STMF,0
MEGCONMILK,4
MEGHNACEM,0
MEGHNAINS,3
MEGHNALIFE,4
MEGHNAPET,2
MERCANBANK,2
MERCINS,0
METROSPIN,4
MHSML,4
MIDASFIN,1
MIRACLEIND,3
MIRAKHTER,2
MITHUNKNIT,2
MJLBD,3
MLDYEING,1
MONNOAGML,6
MONNOCERA,4
MONNOFABR,3
MONOSPOOL,10
MPETROLEUM,4
MTB,0
NAHEEACP,7
NATLIFEINS,3
NAVANACNG,2
NAVANAPHAR,0
NBL,2
NCCBANK,0
NCCBLMF1,1
NEWLINE,2
NFML,2
NHFIL,4
NITOLINS,3
NLI1STMF,0
NORTHERN,6
NORTHRNINS,1
NPOLYMER,7
NRBCBANK,1
NTC,6
NTLTUBES,4
NURANI,2
OAL,5
OIMEX,6
OLYMPIC,2
ONEBANKLTD,1
ORIONINFU,14
ORIONPHARM,9
PADMALIFE,2
PADMAOIL,3
PAPERPROC,9
PARAMOUNT,4
PDL,1
PENINSULA,2
PEOPLESINS,3
PF1STMF,2
PHARMAID,5
PHENIXINS,2
PHOENIXFIN,2
PHPMF1,1
PIONEERINS,2
POPULAR1MF,1
POPULARLIF,2
POWERGRID,3
PRAGATIINS,2
PRAGATILIF,2
PREMIERBAN,2
PREMIERCEM,1
PREMIERLEA,0
PRIME1ICBA,1
PRIMEBANK,1
PRIMEFIN,2
PRIMEINSUR,4
PRIMELIFE,4
PRIMETEX,5
PROGRESLIF,0
PROVATIINS,2
PTL,4
PUBALIBANK,1
PURABIGEN,2
QUASEMIND,4
QUEENSOUTH,4
RAHIMAFOOD,6
RAHIMTEXT,4
RAKCERAMIC,3
RANFOUNDRY,5
RDFOOD,4
RECKITTBEN,4
REGENTTEX,1
RELIANCE1,0
RELIANCINS,2
RENATA,2
RENWICKJA,6
REPUBLIC,1
RINGSHINE,3
RNSPIN,0
ROBI,5
RSRMSTEEL,4
RUNNERAUTO,5
RUPALIBANK,4
RUPALIINS,1
RUPALILIFE,5
SAFKOSPINN,3
SAIFPOWER,6
SAIHAMCOT,4
SAIHAMTEX,1
SALAMCRST,4
SALVOCHEM,5
SAMATALETH,4
SAMORITA,5
SANDHANINS,1
SAPORTL,3
SAVAREFR,7
SBACBANK,0
SEAPEARL,8
SEMLFBSLGF,1
SEMLIBBLSF,2
SEMLLECMF,2
SHAHJABANK,0
SHASHADNIM,4
SHEPHERD,4
SHURWID,5
SHYAMPSUG,3
SIBL,0
SILCOPHL,6
SILVAPHL,3
SIMTEX,3
SINGERBD,2
SINOBANGLA,3
SKICL,1
SKTRIMS,3
SONALIANSH,8
SONALILIFE,2
SONALIPAPR,9
SONARBAINS,4
SONARGAON,11
SOUTHEASTB,1
SPCERAMICS,4
SPCL,3
SQUARETEXT,5
SQURPHARMA,4
SSSTEEL,1
STANCERAM,3
STANDARINS,1
STANDBANKL,1
STYLECRAFT,2
SUMITPOWER,1
SUNLIFEINS,9
TAKAFULINS,5
TALLUSPIN,1
TAMIJTEX,7
TITASGAS,4
TOSRIFA,6
TRUSTB1MF,0
TRUSTBANK,3
TUNGHAI,0
UCB,0
UNILEVERCL,4
UNIONBANK,1
UNIONCAP,3
UNIONINS,4
UNIQUEHRL,5
UNITEDFIN,1
UNITEDINS,3
UPGDCL,3
