Company,No of weeks,Week,Q1,Q2,Q3,Q4
00DS30,7,"[2, 17, 23, 32, 34, 35, 37]",1,2,4,0
00DSES,7,"[2, 3, 23, 32, 34, 35, 37]",2,1,4,0
00DSEX,7,"[2, 4, 23, 32, 34, 35, 36]",2,1,4,0
1JANATAMF,1,[12],1,0,0,0
1STPRIMFMF,3,"[2, 12, 24]",2,1,0,0
AAMRANET,6,"[2, 11, 12, 34, 36, 41]",3,0,2,1
AAMRATECH,7,"[2, 6, 13, 32, 34, 38, 39]",3,0,4,0
ABB1STMF,0,[],0,0,0,0
ABBANK,1,[32],0,0,1,0
ACFL,4,"[2, 27, 32, 36]",1,1,2,0
ACI,1,[4],1,0,0,0
ACIFORMULA,8,"[3, 4, 17, 20, 32, 35, 36, 41]",2,2,3,1
ACMELAB,4,"[2, 18, 34, 39]",1,1,2,0
ACMEPL,4,"[2, 6, 27, 32]",2,1,1,0
ACTIVEFINE,2,"[2, 22]",1,1,0,0
ADNTEL,7,"[9, 11, 15, 34, 39, 40, 43]",2,1,3,1
ADVENT,5,"[4, 12, 14, 36, 39]",3,0,2,0
AFCAGRO,1,[2],1,0,0,0
AFTABAUTO,2,"[2, 42]",1,0,0,1
AGNISYSL,3,"[2, 32, 34]",1,0,2,0
AGRANINS,2,"[14, 23]",1,1,0,0
AIBL1STIMF,0,[],0,0,0,0
AIL,3,"[3, 9, 23]",2,1,0,0
AL-HAJTEX,4,"[4, 13, 25, 31]",2,1,1,0
ALARABANK,0,[],0,0,0,0
ALIF,1,[20],0,1,0,0
ALLTEX,6,"[2, 6, 8, 13, 23, 27]",4,2,0,0
AMANFEED,5,"[2, 20, 28, 32, 36]",1,1,3,0
AMBEEPHA,7,"[3, 8, 22, 23, 27, 32, 38]",2,3,2,0
AMCL(PRAN),7,"[3, 8, 23, 34, 35, 38, 41]",2,1,3,1
ANLIMAYARN,2,"[2, 25]",1,1,0,0
ANWARGALV,9,"[3, 12, 23, 24, 35, 38, 40, 41, 43]",2,2,3,2
AOL,3,"[2, 12, 36]",2,0,1,0
APEXFOODS,8,"[8, 13, 23, 34, 35, 36, 41, 42]",2,1,3,2
APEXFOOT,5,"[8, 18, 23, 34, 35]",1,2,2,0
APEXSPINN,7,"[8, 9, 23, 32, 34, 35, 38]",2,1,4,0
APEXTANRY,3,"[4, 8, 23]",2,1,0,0
APOLOISPAT,2,"[7, 27]",1,1,0,0
APSCLBOND,10,"[2, 3, 7, 14, 22, 23, 24, 28, 36, 38]",4,3,3,0
ARAMIT,7,"[8, 22, 28, 34, 38, 42, 43]",1,1,3,2
ARAMITCEM,1,[23],0,1,0,0
ARGONDENIM,3,"[4, 27, 32]",1,1,1,0
ASIAINS,3,"[6, 14, 23]",2,1,0,0
ASIAPACINS,2,"[14, 23]",1,1,0,0
ATCSLGF,0,[],0,0,0,0
ATLASBANG,3,"[13, 27, 28]",1,1,1,0
AZIZPIPES,4,"[23, 27, 34, 39]",0,2,2,0
BANGAS,4,"[20, 21, 23, 35]",0,3,1,0
BANKASIA,0,[],0,0,0,0
BARKAPOWER,3,"[2, 6, 13]",3,0,0,0
BATASHOE,3,"[13, 18, 38]",1,1,1,0
BATBC,2,"[2, 12]",2,0,0,0
BAYLEASING,3,"[7, 11, 32]",2,0,1,0
BBS,5,"[5, 6, 11, 27, 36]",3,1,1,0
BBSCABLES,2,"[2, 15]",1,1,0,0
BDAUTOCA,4,"[3, 8, 27, 42]",2,1,0,1
BDCOM,8,"[2, 5, 11, 12, 23, 34, 38, 39]",4,1,3,0
BDFINANCE,3,"[20, 22, 24]",0,3,0,0
